           sum      HER2      ELSE
761   1.643018  0.653190  0.989828
762   1.961353  0.981911  0.979442
763   1.872156  0.898357  0.973799
764   1.365241  0.384508  0.980733
765   1.510255  0.530054  0.980201
766   1.973880  0.992884  0.980996
767   1.763607  0.785051  0.978556
768   1.979325  0.995508  0.983818
769   1.968349  0.980005  0.988344
770   1.836876  0.860324  0.976553
771   1.725443  0.744694  0.980749
772   1.949600  0.984452  0.965148
773   1.720962  0.735531  0.985431
774   1.885289  0.915534  0.969755
775   1.907962  0.932332  0.975630
776   1.829818  0.852696  0.977122
777   1.323902  0.342913  0.980989
778   1.619004  0.640569  0.978435
779   1.980780  0.989498  0.991282
780   1.222844  0.231808  0.991036
781   1.627527  0.637755  0.989772
782   1.970569  0.990432  0.980137
783   1.968995  0.979067  0.989927
784   1.950377  0.983842  0.966534
785   1.949262  0.958684  0.990578
786   1.932893  0.955411  0.977482
787   1.983106  0.992152  0.990954
788   1.944875  0.961848  0.983027
789   1.381483  0.399383  0.982100
790   1.861486  0.888287  0.973198
791   1.854204  0.866416  0.987788
792   1.954821  0.969702  0.985119
793   1.958027  0.966843  0.991184
794   1.934902  0.959962  0.974939
795   1.859474  0.883181  0.976293
796   1.766348  0.774170  0.992178
797   1.973310  0.983645  0.989665
798   1.873400  0.898051  0.975349
799   1.921669  0.945013  0.976656
800   1.695346  0.722942  0.972405
801   1.832659  0.859461  0.973198
802   1.897080  0.929124  0.967956
803   1.836652  0.866965  0.969687
804   1.987914  0.995524  0.992389
805   1.932687  0.944066  0.988620
806   1.822487  0.851948  0.970539
807   1.916796  0.934098  0.982698
808   1.528203  0.562061  0.966143
809   1.938021  0.954783  0.983238
810   1.737547  0.760470  0.977077
811   1.963951  0.981757  0.982194
812   1.369324  0.399427  0.969897
813   1.934335  0.943143  0.991191
814   1.962049  0.990228  0.971820
815   1.533098  0.578499  0.954599
816   1.705801  0.720448  0.985353
